scenario,position_rmse_m,final_position_error_m
nominal,0.007359279471806534,0.0018776438412453538
GPS dropout,0.008752389605740743,0.0010122257719508076
wind gust,0.035083127773292186,0.002291867203667908
GPS bias,0.11566101667188451,0.11191362885673775
